Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
31-Aug-23,11249.5,11261.4,11140.2,11182.65,1366106476,31281.66
1-Sep-23,11187.35,11274.75,11154.25,11260.6,1159035901,9572.45
4-Sep-23,11310.35,11349.65,11260.6,11327.05,668329184,9124.52
5-Sep-23,11361.6,11448.7,11327.05,11437.65,467012508,9033.52
6-Sep-23,11467.15,11489.1,11418.85,11469.65,663692087,9081.96
7-Sep-23,11487.6,11530.7,11458.15,11520.8,513531913,7126.49
8-Sep-23,11559.25,11656.85,11553.7,11647.15,678126489,10058.93
11-Sep-23,11714.45,11736.15,11685.65,11725.65,939081193,8793.63
12-Sep-23,11789.95,11789.95,11371.5,11386.5,862108976,10043.1
13-Sep-23,11381.15,11463.1,11271.35,11454.95,727351286,9499.62
14-Sep-23,11508.05,11589.2,11497.05,11582.8,435722375,7824.46
15-Sep-23,11638.35,11654.1,11585.95,11635.9,834711702,8810.76
18-Sep-23,11652.5,11654.75,11579.5,11595.5,817656279,7784.4
20-Sep-23,11568.55,11648.55,11509.15,11594.7,468345237,7810.83
21-Sep-23,11577.3,11634.1,11473.15,11502.5,452011076,7109.84
22-Sep-23,11513.9,11570.25,11427.85,11494.9,558162793,6853.92
25-Sep-23,11513.3,11618.5,11414.1,11600.65,471067919,8450.02
26-Sep-23,11602.15,11639.45,11543.85,11554.7,742636295,6656.26
27-Sep-23,11574.95,11672.4,11544.4,11655,674464195,8809.8
28-Sep-23,11674.8,11680.65,11432.5,11453.65,679395408,10886.31
29-Sep-23,11529.25,11648.5,11497.75,11611.65,378363500,7630.91
3-Oct-23,11621.5,11635,11549.25,11607.6,454435043,6754.93
4-Oct-23,11578.15,11580.8,11350.85,11448.9,411177178,7140.03
5-Oct-23,11506.3,11551.95,11437.05,11453.9,292747283,4828.56
6-Oct-23,11505.4,11548.5,11474.6,11543.7,256705766,4960.95
9-Oct-23,11444.45,11459.75,11373.5,11415.65,535629427,5490.2
10-Oct-23,11464,11578.15,11459.35,11568.45,289333276,6656.58
11-Oct-23,11638.15,11685.65,11592.15,11607.55,566941833,6807.06
12-Oct-23,11653.8,11687.6,11623.85,11646.3,420666982,6473.16
13-Oct-23,11613.15,11684.5,11583.2,11626.7,525136097,6250.82
16-Oct-23,11646.8,11678.6,11598.3,11648.9,372148472,6243.67
17-Oct-23,11705.25,11714.05,11653.75,11672.65,378187708,5542.17
18-Oct-23,11688.1,11695.7,11529.9,11542.75,341963795,7027.61
19-Oct-23,11502.4,11553.05,11425.05,11537.85,390426584,6939.72
20-Oct-23,11503.65,11517.45,11321.5,11346.45,321423648,7430.46
23-Oct-23,11336.5,11373.75,11103.3,11140.35,437874861,7851.29
25-Oct-23,11172.9,11232.75,10982.35,11066.55,448153752,6962.79
26-Oct-23,10995.4,11006.3,10810.75,10893,383209150,7571.2
27-Oct-23,10962.3,11078.7,10962.2,11033.1,347554572,5507.08
30-Oct-23,11061.4,11066.8,10901.55,11022.1,602903474,7681.75
31-Oct-23,11075.55,11107.5,11015,11068.85,487437156,5786.28
1-Nov-23,11097.5,11104.3,11040.95,11049.05,1147245504,7027.04
2-Nov-23,11131.65,11232.75,11129.15,11225.6,860904754,8182.87
3-Nov-23,11306.1,11329.75,11279.05,11311.35,783776945,7008.24
6-Nov-23,11381.35,11389.5,11352.05,11380.85,321509442,6194.4
7-Nov-23,11402.75,11411.05,11333.35,11403.1,425667550,6664.08
8-Nov-23,11463.5,11513.8,11455.65,11501.05,318758484,6552.97
9-Nov-23,11532.25,11593.55,11514.25,11554.55,392872606,6823.13
10-Nov-23,11550.75,11625.55,11481.55,11613.75,440234960,6624.14
12-Nov-23,11703.2,11710,11683.7,11691.15,93283621,1165.46
13-Nov-23,11682.3,11695.35,11620.6,11673.4,339254641,7926.85
15-Nov-23,11775.55,11789.45,11719.35,11774.95,385070661,8416.75
16-Nov-23,11789.9,11909.85,11772.45,11875.35,471024369,6924.7
17-Nov-23,11862.25,11938.55,11847.9,11905.45,469523588,7314.6
20-Nov-23,11931.9,11961.65,11901.5,11919.8,535066000,7073.81
21-Nov-23,11969.8,11990.75,11922,11954.55,390357151,7196.03
22-Nov-23,11976.25,12001.4,11881,11941.9,367943260,6226.9
23-Nov-23,11979.8,11993.65,11948.2,11960.35,285494895,5096.71
24-Nov-23,11987.3,11993.65,11937.8,11955.25,277555969,5972.82
28-Nov-23,11992.2,12041,11957.7,12031.6,332214369,7601
29-Nov-23,12081.15,12123,12069.6,12113.8,362841727,8252.66
30-Nov-23,12135.15,12239.65,12082.3,12200.6,1021411802,25536.54
